colonia,alcaldia,latitud,longitud
CANTERA PUENTE DE PIEDRA,TLALPAN,19.29897,-99.16255
SANTA FE CUAJIMALPA,CUAJIMALPA DE MORELOS,19.36398,-99.27119
PIEDAD NARVARTE,BENITO JUAREZ,19.40212,-99.15231
BARRIO SAN MARCOS,XOCHIMILCO,19.26159,-99.10855
ROMA SUR,CUAUHTEMOC,19.40679,-99.16408
LA RAZA,AZCAPOTZALCO,19.46451,-99.14624
PUEBLO PARRES EL GUARDA,TLALPAN,19.1334,-99.18096
JUVENTINO ROSAS,IZTACALCO,19.39364,-99.1068
PERIODISTA,BENITO JUAREZ,19.38241,-99.14613
BARRIO TENANTITLA,MILPA ALTA,19.22179,-98.99442
NATIVITAS,BENITO JUAREZ,19.37853,-99.13927
JUAN ESCUTIA,IZTAPALAPA,19.38609,-99.03667
NARCISO MENDOZA,TLALPAN,19.29339,-99.12314
MAZA,CUAUHTEMOC,19.45388,-99.12771
PUEBLO SAN JUAN TLIHUACA,AZCAPOTZALCO,19.48956,-99.2039
LOS CIPRESES,COYOACAN,19.31836,-99.12577
HUICHAPAN,MIGUEL HIDALGO,19.45912,-99.19649
C T M EL RISCO,GUSTAVO A. MADERO,19.50932,-99.09433
LOMAS DE PLATEROS,ALVARO OBREGON,19.36753,-99.20012
ADOLFO LOPEZ MATEOS,VENUSTIANO CARRANZA,19.41636,-99.07471
EL RETONO,IZTAPALAPA,19.37523,-99.12545
SAN DIEGO OCOYOACAC,MIGUEL HIDALGO,19.4613,-99.19328
25 DE JULIO,GUSTAVO A. MADERO,19.49596,-99.0801
LA HABANA,TLAHUAC,19.26454,-98.99344
GRANJAS MEXICO,IZTACALCO,19.40684,-99.10246
ARAGON LA VILLA,GUSTAVO A. MADERO,19.48119,-99.11482
BOSQUE DE LAS LOMAS,MIGUEL HIDALGO,19.40108,-99.24807
AMPLIACION LAS AGUILAS,ALVARO OBREGON,19.35062,-99.22026
SAN JUAN DE ARAGON IV SECCION,GUSTAVO A. MADERO,19.45184,-99.06457
ANO DE JUAREZ,XOCHIMILCO,19.24729,-99.08645
SAN MIGUEL CHAPULTEPEC I SECCION,MIGUEL HIDALGO,19.40289,-99.18704
BARRIO SANTA CATARINA,COYOACAN,19.34575,-99.1726
BARRIO SAN MATEO,AZCAPOTZALCO,19.48429,-99.19342
CITLALLI,IZTAPALAPA,19.34319,-99.02256
LOMAS DE BECERRA,ALVARO OBREGON,19.38424,-99.21704
TLALPEXCO,GUSTAVO A. MADERO,19.54707,-99.12809
GUADALUPE PROLETARIA,GUSTAVO A. MADERO,19.52029,-99.15715
PUEBLO SANTA BARBARA,AZCAPOTZALCO,19.50511,-99.18275
RICARDO FLORES MAGON,IZTAPALAPA,19.35542,-99.09861
SECTOR POPULAR,IZTAPALAPA,19.3666,-99.12239
EJIDOS DE SAN PEDRO MARTIR,TLALPAN,19.26782,-99.15856
EL SANTUARIO,IZTAPALAPA,19.35601,-99.09333
JOSE LOPEZ PORTILLO,IZTAPALAPA,19.30119,-99.08418
OLIVAR DE LOS PADRES,ALVARO OBREGON,19.34222,-99.21076
NUEVA SANTA MARIA,AZCAPOTZALCO,19.46027,-99.16746
BARRIO SAN ANTONIO,IZTAPALAPA,19.30603,-99.0779
EL SIFON,IZTAPALAPA,19.37059,-99.10823
AMPLIACION PENITENCIARIA,VENUSTIANO CARRANZA,19.43552,-99.11571
DEL RECREO,AZCAPOTZALCO,19.46964,-99.18688
VALLE DEL SUR,IZTAPALAPA,19.3505,-99.11992
MORELOS,VENUSTIANO CARRANZA,19.44726,-99.12254
LEYES DE REFORMA 1A SECCION,IZTAPALAPA,19.36088,-99.07108
SINDICATO MEXICANO DE ELECTRICISTAS,AZCAPOTZALCO,19.47706,-99.17744
PUEBLO DE LOS REYES,COYOACAN,19.33747,-99.15811
TEZOZOMOC,AZCAPOTZALCO,19.49029,-99.19956
PUEBLO SAN MIGUEL XICALCO,TLALPAN,19.23454,-99.16177
RESIDENCIAL ACOXPA,TLALPAN,19.29805,-99.12495
AVANTE,COYOACAN,19.32928,-99.13676
VALLEJO,GUSTAVO A. MADERO,19.4639,-99.12537
LOMAS DE CUAUTEPEC,GUSTAVO A. MADERO,19.56706,-99.13349
BOSQUES DEL PEDREGAL,TLALPAN,19.27051,-99.24122
RESIDENCIAL MIRAMONTES,TLALPAN,19.30252,-99.12331
FEDERAL,VENUSTIANO CARRANZA,19.41914,-99.09129
CHIMALISTAC,ALVARO OBREGON,19.34111,-99.18938
CULHUACAN CTM SECCION VIII,COYOACAN,19.32006,-99.10299
VILLA DE CORTES,BENITO JUAREZ,19.38783,-99.13709
BARRIO SAN MARCOS,AZCAPOTZALCO,19.48759,-99.17967
CUADRANTE DE SAN FRANCISCO,COYOACAN,19.34233,-99.16804
BARRIO LA ASUNCION,IZTAPALAPA,19.36506,-99.09255
PUEBLO SAN GREGORIO ATLAPULCO,XOCHIMILCO,19.25316,-99.05573
LOMAS DE LA ESTANCIA,IZTAPALAPA,19.33082,-99.0046
ERMITA ZARAGOZA,IZTAPALAPA,19.36251,-98.99547
IRRIGACION,MIGUEL HIDALGO,19.44043,-99.20527
ESTRELLA CULHUACAN,IZTAPALAPA,19.33107,-99.10668
TRANSITO,CUAUHTEMOC,19.41792,-99.13259
ESTACION PANTACO,AZCAPOTZALCO,19.47472,-99.17369
PUEBLO LA MAGDALENA PETLACALCO,TLALPAN,19.23262,-99.17941
BARRIO NORTE,ALVARO OBREGON,19.37727,-99.20307
PUEBLO TIZAPAN,ALVARO OBREGON,19.33343,-99.20447
REFORMA IZTACCIHUATL SUR,IZTAPALAPA,19.377,-99.12959
RINCONADA COAPA 2A SECCION,TLALPAN,19.29817,-99.11311
AERONAUTICA MILITAR,VENUSTIANO CARRANZA,19.4191,-99.11573
BARRIO CRUZTITLA,MILPA ALTA,19.21691,-98.99392
CONDESA,CUAUHTEMOC,19.41262,-99.17566
GOLONDRINAS 2DA SECCION,ALVARO OBREGON,19.37797,-99.21544
SANTA ROSA,GUSTAVO A. MADERO,19.52205,-99.16748
